Name,Source,Uses
Polydenum,OtherSpace,"A metallic, radioactive, explosive element found in some planetary cores that is mined and refined to become the main fuel for starship sub-light engines in the OtherSpace multiverse, and a potent explosive."
Polydichloric euthimal,Outland,"Powerful amphetamine. Greatly increases miners' productivity in the Brith sci-fi thriller Outland. Prolonged use leads to severe psychosis often ending in deadly violence or suicide. In the 1991 American sci-fi action film Terminator 2: Judgment Day, the barrels of explosive used to destroy the Cyberdyne building are labeled ""Polydichloric Euthimol"" as an in-joke."
Protodermis,Bionicle,"Artificial substance. Comprises all of the giant robot Mata Nui and the beings that live inside it. Liquid protodermis functions similar to water; solid protodermis can function as earth, stone, or metal. Organic protodermis forms the biological components of the characters.
A naturally-occurring form, Energized Protodermis, is a silver-colored liquid that is a sapient being, and can transform or destroy any living thing that touches it."
Quadium,The Mouse That Roared by Leonard Wibberley,"Hydrogen isotope 4H. Fissionable; explosive potential many times greater than plutonium. Quadium is discovered by Dr. Kokintz who uses it to build the ""Q-Bomb"", a doomsday device that can destroy all life on Earth. A madcap series of events results in the Q-Bomb being captured by the anachronisticly medieval army of the Duchy of Grand Fenwick turning this tiny and technologically backward European country into the most powerful nation on Earth. Grand Fenwick then uses the threat of the Q-Bomb to force the nuclear powers to accept a nuclear disarmament agreement. In the end Dr. Kokintz discovers the Q-Bomb is actually a dud, but decides it is in the best interest of humanity to keep this fact a secret."
Quantonium,Monsters vs. Aliens,"A blue-green luminescent material which is used in the film to fuel the main antagonist, Galaxar's, ship. When the protagonist, Susan Murphy, is hit by an asteroid filled with quantonium, she grows to a gigantic size."
Radianite,Valorant,"Grey crystal-like substance. Has become a major part of Earth's civilization after its discovery. Is used to power and augment much of Earth's technology and is the game's main plot device; one team has to steal large amount of crates containing radianite, while the other team has to defend objectives to keep the opposing team from stealing the crates. It was initially known to be a clean, safe source of energy and something that could inflict supernatural abilities upon certain people who come into contact with it. Known as Radiants, they made up only a relatively small section of the global population and eventually became an accepted part of society. After a disaster in Venice, it is revealed that radianite had more destructive potential, leaving the world questioning how safe radianite actually was."
Radium X,The Invisible Ray,"Highly radioactive extraterrestrial element discovered by Dr. Janos Rukh. He uses it to create a death beam projector which uses the incredible power of Radium X for a destructive weapon of mass terror. After developing a filter to curb its destructiveness, Rukh also uses it to restore sight to his blind mother with the Radium X projector. According to legend, this scene inspired John H. Lawrence to use radiation on his mother, who had been diagnosed with inoperable uterine cancer."
Rearden Metal,Atlas Shrugged,"Greenish-blue alloy containing iron and copper invented by Hank Rearden. Lighter and stronger than traditional steel, it is to steel what steel was to iron."
Rebellium,Space: 1999,"Rebellium appears on a computer monitor (VDU) during Episode 24, Series 2, The Dorcons in which Moonbase Alpha is attacked by The Dorcons who are attempting to kidnap Maya who is a Psychon. Rebellium is one of the constituent elements of the Dorcons space craft."
Red mercury,Urban legend,Hoax substance of uncertain composition purportedly used in making nuclear bombs. It appears in the films Red Mercury and Red 2.
Redstone,Minecraft,"""perhaps the biggest stroke of genius in Minecraft"". This red material serves as in-game wiring, letting players lay down logic circuitry that controls pistons, minecarts and other dynamic elements in the game and can be crafted into various mechanical objects."
Regalite,I Expect You To Die,"Purple liquid with atomic number 11 and symbol Re that makes a compound that produces clouds when exposed to air when mixed with Arsonium, and an antivirus when mixed with Nanite and Sanite. The real element 11 is sodium, and the element with symbol Re is rhenium."
Residuum,"Critical Role, The Legend of Vox Machina","A mineral; can enhance arcane powers. Refined from whitestone rocks. During Exandria's Calamity, a fight between the gods created mountains infused with their magic; whitestone is mined from these mountains. Residuum can be further refined into suude – a performance-enhancing drug which improves spellcasting. It first appeared in campaign one of the Dungeons & Dragons web series Critical Role; it later appeared in other Critical Role campaigns and the animated adaptation The Legend of Vox Machina. Mechanically in the D&D game, residuum can replace expensive components consumed by spells and other arcane rituals."
Runite,"RuneScape, Old School RuneScape","Blueish metal, named after the game it features in; also commonly called 'rune'. In earlier versions of the game and the Old School game, it is the toughest workable metal, and in the main game it is both the strongest workable metal in the free-to-play version, as well as being the main ingredient in the Elder Rune metal. In the lore of both versions of the game, the special treatment this metal gets is evident in the requirement to complete a quest assigned by the Guildmaster of the Champion's Guild in order to wear a platebody of this metal. This metal is stronger than other well-known fictional metals that also exist in the game, such as Mithril and Adamant."
Sanite,I Expect You To Die,"Red liquid with atomic number 17 and the symbol Y. Makes a compound that is corrosive to copper when mixed with Arsonium and Galine, and an antivirus when mixed with Regalite and Nanite. The real element 17 is chlorine and the element with symbol Y is yttrium."
Saronite,World of Warcraft,"Teal-color metal found in the land of Northrend. Said to be created from the blood of the old god Yogg-Saron. Those who spend a long time in Saronite mines will complain of ghostly whispers and be driven to insanity. This metal is also used by the Scourge and Knights of the Ebon Blade to create armor, though the creators of the game confirmed that using Saronite in armor will not affect the wearer[citation needed]. In the game, Saronite can be used by blacksmiths and engineers to craft rare and epic-quality armor and weapons."
SCP-148,SCP Foundation,"Alloy: mainly platinum and iridium, plus several other known metals (including iron, cobalt, and copper) and unidentified matter. SCP-148 has a passive effect that negates extrasensory perception. Long exposure causes communication disorders; extensive overexposure leads to complete aphasia with no visible signs of brain damage."
Scrith,Ringworld,"Structural material for Ringworld, with tensile strength on the order of the strong nuclear force."
Seastone,One Piece,"Rare substance; ""gives off a wavelength that is the same as the sea itself"", making it, in effect, a solid form of sea. Any person with superhuman powers obtained from a Devil Fruit has said powers temporarily neutralized if they come into contact with Seastone. Used mainly by the Marines for apprehension and/or containment of such persons, using it to build devices like batons, bullets, handcuffs, nets etc. Most of such devices were invented by the world-renowned genius Dr. Vegapunk. It can also be used to camouflage ships from the notice of the giant sea creatures called ""Sea Kings""."
Septium,Trails,"Septium are gemstones that align with one of seven elements: Earth, Fire, Water, Wind, Space, Mirage, and Time. Septium is central to the function of Orbal energy, which can power appliances, vehicles, or channel elemental power in the form of ""Arts"", magical techniques used in combat."
Silverstone,Elemental Assassin series by Jennifer Estep,"Magic metal that can absorb and negate elemental magic, at the cost of generating heat (melting the metal if it absorbs too much). This ability lets Silverstone be used for both storing magical energy to be used later and to protect people/objects/structures from mystical attacks. Silverstone is also durable against mundane force, with shooters preferring it to Teflon for armor-piercing bullets.[citation needed]"
Space Titanium,Godzilla vs. Mechagodzilla,"Also called ""space metal"". Strong metal from outer space used by the Simians to create Mechagodzilla. After Godzilla beats Mechagodzilla, the Simians use this metal to create a second Mechagodzilla in the 1975 sequel Terror of Mechagodzilla."
Stygian Iron,Rick Riordan,"(Introduced in The Battle of the Labyrinth.) A type of iron mined in the Underworld and forged in the River Styx. Unlike Celestial Bronze and Imperial Gold, monsters killed by it cannot reform, and it can kill non-magical creatures as well as magical creatures."
Supermanium,DC Comics,"Used in making Superman's Supermobile. A metal so strong that ""only Superman's heat vision can soften the substance, and only his super-strength is mighty enough to mold it!"""
Taydenite,Ben 10,"An extremely hard gem, and the most precious material in the galaxy, used as both currency and fuel for spaceships. Kevin Levin often uses it as a material to absorb in combat, and it is also one of the only things that can pierce the containment suit of a Prypiatosian-B."
Thiotimoline,Isaac Asimov,"Fictional chemical compound. Its major peculiarity is its ""endochronicity"": it starts dissolving before it makes contact with water."
Thirium,Detroit: Become Human,"Primarily used for the synthesis of ""Blue Blood"", a fluid that circulates energy and information inside CyberLife androids. It has a destabilizing effect on hormone production."
Timonium,Numerous works,"In the Liaden universe, the planet Surebleak was once a mining center for timonium before large amounts were discovered in another nearby star system. Timonium is a radioactive element used as an internal powersource for high tech devices. The material has also been featured in The Stardust Voyages, and in Rise of Nations: Rise of Legends."
Transformium,Transformers: Age of Extinction,A programmable material that the Transformers are made from.
Tritanium,Star Trek,The fictional metal tritanium was referred to in many episodes as an extremely hard alloy used in starship hulls and hand-held tools.
Tritanium,Eve Online,"A versatile material; the primary material used in the construction of virtually all star ships and star ship components. It is described as being unstable at atmospheric temperatures, and thus is only used in constructing objects intended to stay in space permanently."
Truthitonium,The Ambidextrous Universe,"Martin Gardner describes Truthitonium as the invention of Ralph Cooper of Los Alamos. It is created momentarily (called a moment of Truth), by annihilating a Truthiton  (a proto-proton) with a pseudo electron (a fiction), after which it degenerates releasing 2000 neutrinos and then implodes into nothingness ""leaving behind not a particle of Truth""."
Ultron,Armageddon 2419 A.D.,"A synthetic material which is an ""absolutely invisible and non-reflective solid of great molecular density and moderate elasticity, which has the property of being 100 percent conductive to those pulsations known as light, electricity and heat”.
In the novel, the Americans use this technology, combined with Inerton, as well as explosive rockets and radio frequencies the enemy cannot detect, in their struggle with the protagonists “The Hans”."
Unobtanium,"Aerospace term, Avatar, The Core","A substance with the exact properties needed for a piece of hardware or other item of use, but not obtainable either because it theoretically cannot exist, geopolitical events preclude access to it, or because current technological limitations prevent making it.
Unobtanium is also the mineral being sought on Pandora by brute-force mining methods in the film Avatar."
Upsidaisium,The Adventures of Rocky and Bullwinkle and Friends,"A focus of the second-longest Rocky and Bullwinkle story arc, Upsidaisium, an anti-gravity metal, is much sought after by the US government. Bullwinkle comes to the attention of government agents, as well as spies Boris and Natasha, after inheriting his uncle's Upsidaisium mine. The mine is located in the fictional Mt. Flatten, which floats high in the air due to the high amount of Upsidaisium within."
Uridium,Uridium,"Fictional metal named in the 1986 computer game Uridium, available for the Commodore 64, ZX Spectrum, BBC Micro, and Amstrad CPC. Each level of the game takes place on a space dreadnought named after a different metal. The last level is named after the fictional element uridium. The cassette inlay card says the name was created by one of the game developers who thought uridium really existed. (Not to be confused with real element iridium.)"
Uru,Marvel Comics,"Fictional metal, used by the residents of Asgard. Has the unique properties of being both highly durable and able to hold enchantments. It has been noted that only a god can safely apply permanent enchantments. Uru's durability makes it nigh-impossible to work with, requiring either the heart of a star or an enchanted forge. Notable objects made of Uru include Thor's hammer Mjolnir and Beta Ray Bill's weapon, Stormbreaker."
Versamina,,Versamine are substances that turn pain into pleasure.
Verterium cortenide,Star Trek,"Has a key role in Star Trek's warp drive propulsion system, since it is described as the only compound able to generate warp fields when given energy from the warp core. The crew of USS Voyager are forced to land on a planet to retrieve verterium cortenide to repair their warp nacelles after a sabotage."
Vibranium,Marvel Comics,"Fictional metal; first appears in Daredevil #13 (February 1966), by writer Stan Lee and artist John Romita. A rare, naturally occurring metallic substance theorized to be of extraterrestrial origin. It is most commonly known as one of the materials used to build Captain America's shield, but is also noted for its connection to the Black Panther and his native homeland of Wakanda (a small, fictional African country).  It exists in two forms: one of them, the Wakandan variety, is native only to Wakanda. This isotope can absorb all vibrations in the vicinity as well as kinetic energy directed at it. The energy absorbed is stored within the bonds between the molecules that make up the substance. Therefor, the more energy vibranium absorbs, the tougher it becomes. This type of vibranium is a powerful mutagen. The Antarctic variety, better known as Anti-Metal, is an isotope native to the Savage Land, producing vibrations of a specific wavelength that break down the molecular bonds in other metals."
Vizorium,Dirty Pair: Project Eden,An extremely rare metal that is illegal and sold by various criminals. It is used to power warp drives.
Wishalloy,Aerospace term,Alternative to unobtainium; may mean that said substance is theoretically impossible under known scientific theory. Historically scramjets have been described[by whom?] as being made from unobtainium reinforced wishalloy.
Xirang,Chinese mythology,Magic soil that can self-expand and continually grow. Used to fight against the waters of the Great Flood.
Xirdalium,The Chase of the Golden Meteor,"Element which is, in the French first edition of the novel, ~100,000 times more radioactive than radium. In the English first edition this is reduced to 100 times. Xirdalium was invented by Jules Verne's son Michel, who introduced it to the novel, together with the character Zephyrin Xirdal, a 'private genius' who synthesized the new element. In the story Xirdal then uses Xirdalium in a contraption emitting a strong tractor beam able to alter the trajectory of the meteor mentioned in the novel's title."
Xithricite,Vendetta Online,A bright green mineral used to produce incredibly strong alloys originally discovered by explorers from the Neutral Territories. References to it are found throughout the game's item descriptions. Is used in everything from spaceship hulls to railgun ammunition. Players can mine Xithricite ore from asteroids.
Z-Crystals,Pokémon,Mysterious crystals to be held by Pokémon and used in battle to upgrade normal moves to Z-Moves through use of a Z-Ring by their trainer. Crystals available for each move type (from Bug to Water) and for 17 specific Pokémon.
